DATE,DAILY_DIFFICULTY,DAILY_BLOCK,NUMBER_OF_MINERS,TOTAL_DIFFICULTY,STATUS
2023-01-01T00:00:00Z,0,742785,463,5.88E+22,Before
2023-01-02T00:00:00Z,0,920276,416,5.88E+22,Before
2023-01-03T00:00:00Z,0,948116,447,5.88E+22,Before
2023-01-04T00:00:00Z,0,1046389,427,5.88E+22,Before
2023-01-05T00:00:00Z,0,1142818,415,5.88E+22,Before
2023-01-06T00:00:00Z,0,1028132,432,5.88E+22,Before
2023-01-07T00:00:00Z,0,957607,459,5.88E+22,Before
2023-01-08T00:00:00Z,0,1184114,448,5.88E+22,Before
2023-01-09T00:00:00Z,0,1093675,399,5.88E+22,Before
2023-01-10T00:00:00Z,0,1061055,438,5.88E+22,Before
2023-01-11T00:00:00Z,0,1083178,411,5.88E+22,Before
2023-01-12T00:00:00Z,0,1085563,423,5.88E+22,Before
2023-01-13T00:00:00Z,0,1076328,401,5.88E+22,Before
2023-01-14T00:00:00Z,0,1107804,415,5.88E+22,Before
2023-01-15T00:00:00Z,0,1000777,404,5.88E+22,Before
2023-01-16T00:00:00Z,0,1057284,439,5.88E+22,Before
2023-01-17T00:00:00Z,0,1018353,413,5.88E+22,Before
2023-01-18T00:00:00Z,0,1118225,412,5.88E+22,Before
2023-01-19T00:00:00Z,0,1007125,478,5.88E+22,Before
2023-01-20T00:00:00Z,0,1024504,453,5.88E+22,Before
2023-01-21T00:00:00Z,0,994076,400,5.88E+22,Before
2023-01-22T00:00:00Z,0,889814,392,5.88E+22,Before
2023-01-23T00:00:00Z,0,947725,396,5.88E+22,Before
2023-01-24T00:00:00Z,0,1032293,434,5.88E+22,Before
2023-01-25T00:00:00Z,0,1020705,396,5.88E+22,Before
2023-01-26T00:00:00Z,0,1048864,409,5.88E+22,Before
2023-01-27T00:00:00Z,0,1100192,379,5.88E+22,Before
2023-01-28T00:00:00Z,0,964429,410,5.88E+22,Before
2023-01-29T00:00:00Z,0,998228,392,5.88E+22,Before
2023-01-30T00:00:00Z,0,1074566,405,5.88E+22,Before
2023-01-31T00:00:00Z,0,1086364,429,5.88E+22,Before
2023-02-01T00:00:00Z,0,1064236,414,5.88E+22,Before
2023-02-02T00:00:00Z,0,1104114,392,5.88E+22,Before
2023-02-03T00:00:00Z,0,1072608,393,5.88E+22,Before
2023-02-04T00:00:00Z,0,1064597,400,5.88E+22,Before
2023-02-05T00:00:00Z,0,1069625,396,5.88E+22,Before
2023-02-06T00:00:00Z,0,1077149,393,5.88E+22,Before
2023-02-07T00:00:00Z,0,1142836,415,5.88E+22,Before
2023-02-08T00:00:00Z,0,1121215,433,5.88E+22,Before
2023-02-09T00:00:00Z,0,1082467,390,5.88E+22,Before
2023-02-10T00:00:00Z,0,1071635,420,5.88E+22,Before
2023-02-11T00:00:00Z,0,961493,427,5.88E+22,Before
2023-02-12T00:00:00Z,0,953020,438,5.88E+22,Before
2023-02-13T00:00:00Z,0,1054742,429,5.88E+22,Before
2023-02-14T00:00:00Z,0,1141796,423,5.88E+22,Before
2023-02-15T00:00:00Z,0,1160879,429,5.88E+22,Before
2023-02-16T00:00:00Z,0,1138195,394,5.88E+22,Before
2023-02-17T00:00:00Z,0,1066755,387,5.88E+22,Before
2023-02-18T00:00:00Z,0,972865,370,5.88E+22,Before
2023-02-19T00:00:00Z,0,1002399,363,5.88E+22,Before
2023-02-20T00:00:00Z,0,1059640,396,5.88E+22,Before
2023-02-21T00:00:00Z,0,1084290,354,5.88E+22,Before
2023-02-22T00:00:00Z,0,1080839,416,5.88E+22,Before
2023-02-23T00:00:00Z,0,1093537,414,5.88E+22,Before
2023-02-24T00:00:00Z,0,1095771,436,5.88E+22,Before
2023-02-25T00:00:00Z,0,995229,418,5.88E+22,Before
2023-02-26T00:00:00Z,0,982721,447,5.88E+22,Before
2023-02-27T00:00:00Z,0,1034112,401,5.88E+22,Before
2023-02-28T00:00:00Z,0,1044634,373,5.88E+22,Before
2023-03-01T00:00:00Z,0,1081357,421,5.88E+22,Before
2023-03-02T00:00:00Z,0,1088950,393,5.88E+22,Before
2023-03-03T00:00:00Z,0,1092189,421,5.88E+22,Before
2023-03-04T00:00:00Z,0,971157,430,5.88E+22,Before
2023-03-05T00:00:00Z,0,940858,411,5.88E+22,Before
2023-03-06T00:00:00Z,0,1037182,494,5.88E+22,Before
2023-03-07T00:00:00Z,0,1035152,464,5.88E+22,Before
2023-03-08T00:00:00Z,0,1011772,435,5.88E+22,Before
2023-03-09T00:00:00Z,0,1037747,429,5.88E+22,Before
2023-03-10T00:00:00Z,0,1065950,371,5.88E+22,Before
2023-03-11T00:00:00Z,0,1031282,347,5.88E+22,Before
2023-03-12T00:00:00Z,0,974883,349,5.88E+22,Before
2023-03-13T00:00:00Z,0,1173725,348,5.88E+22,Before
2023-03-14T00:00:00Z,0,1105574,338,5.88E+22,Before
2023-03-15T00:00:00Z,0,1076742,358,5.88E+22,Before
2023-03-16T00:00:00Z,0,1042763,351,5.88E+22,Before
2023-03-17T00:00:00Z,0,1068367,345,5.88E+22,Before
2023-03-18T00:00:00Z,0,1023641,305,5.88E+22,Before
2023-03-19T00:00:00Z,0,992358,356,5.88E+22,Before
2023-03-20T00:00:00Z,0,1123422,376,5.88E+22,Before
2023-03-21T00:00:00Z,0,1081542,377,5.88E+22,Before
2023-03-22T00:00:00Z,0,1073049,401,5.88E+22,Before
2023-03-23T00:00:00Z,0,1077305,394,5.88E+22,Before
2023-03-24T00:00:00Z,0,1084231,438,5.88E+22,Before
2023-03-25T00:00:00Z,0,1052415,412,5.88E+22,Before
2023-03-26T00:00:00Z,0,1011463,407,5.88E+22,Before
2023-03-27T00:00:00Z,0,1100122,439,5.88E+22,Before
2023-03-28T00:00:00Z,0,1149677,438,5.88E+22,Before
2023-03-29T00:00:00Z,0,1165012,459,5.88E+22,Before
2023-03-30T00:00:00Z,0,1187924,432,5.88E+22,Before
2023-03-31T00:00:00Z,0,1150727,458,5.88E+22,Before
2023-04-01T00:00:00Z,0,1020143,470,5.88E+22,Before
2023-04-02T00:00:00Z,0,981226,415,5.88E+22,Before
2023-04-03T00:00:00Z,0,1052294,422,5.88E+22,Before
2023-04-04T00:00:00Z,0,1068725,447,5.88E+22,Before
2023-04-05T00:00:00Z,0,1123693,485,5.88E+22,Before
2023-04-06T00:00:00Z,0,1036898,501,5.88E+22,Before
2023-04-07T00:00:00Z,0,1043552,487,5.88E+22,Before
2023-04-08T00:00:00Z,0,924776,469,5.88E+22,Before
2023-04-09T00:00:00Z,0,956899,447,5.88E+22,Before
2023-04-10T00:00:00Z,0,1016342,459,5.88E+22,Before
2023-04-11T00:00:00Z,0,1084502,473,5.88E+22,Before
2023-04-12T00:00:00Z,0,1021632,476,5.88E+22,Before
2023-04-13T00:00:00Z,0,1094764,517,5.88E+22,After
2023-04-14T00:00:00Z,0,1166392,490,5.88E+22,After
2023-04-15T00:00:00Z,0,1056192,503,5.88E+22,After
2023-04-16T00:00:00Z,0,854249,517,5.88E+22,After
2023-04-17T00:00:00Z,0,1011979,483,5.88E+22,After
2023-04-18T00:00:00Z,0,1070108,521,5.88E+22,After
2023-04-19T00:00:00Z,0,1085066,487,5.88E+22,After
2023-04-20T00:00:00Z,0,1073576,483,5.88E+22,After
2023-04-21T00:00:00Z,0,1009840,485,5.88E+22,After
2023-04-22T00:00:00Z,0,861896,561,5.88E+22,After
2023-04-23T00:00:00Z,0,867666,560,5.88E+22,After
2023-04-24T00:00:00Z,0,940804,521,5.88E+22,After
2023-04-25T00:00:00Z,0,976311,541,5.88E+22,After
2023-04-26T00:00:00Z,0,151795,147,5.88E+22,After
